Date,High,Low,Open,Close,Volume,Adj Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sar,sarext,sma,t3,tema,trima,wma,rsi,slowk,slowd,fastk,fastd,macd,macdsignal,macdhist,adx,willr,cci,atr,ultosc,roc
2020-01-06,23365.359375,23148.529296875,23319.759765625,23204.859375,72800000,23204.859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,23577.439453125,23299.919921875,23320.119140625,23575.720703125,64300000,23575.720703125,,,,,,,,,,,23148.529296875,23148.529296875,,,,,,,,,,,,,,,,,,,
2020-01-08,23303.2109375,22951.1796875,23217.490234375,23204.759765625,79400000,23204.759765625,,,,,,,,,,,23577.439453125,-23577.439453125,,,,,,,,,,,,,,,,,,,
2020-01-09,23767.08984375,23506.150390625,23530.2890625,23739.869140625,62200000,23739.869140625,,,,,,,,,,,22951.1796875,22951.1796875,,,,,,,,,,,,,,,,,,,
2020-01-10,23903.2890625,23761.080078125,23813.279296875,23850.5703125,55900000,23850.5703125,24051.28767724384,23515.155859375,22979.024041506163,,,,,,,,22951.1796875,22951.1796875,,,,,,,,,,,,,,,,,,,
2020-01-14,24059.859375,23951.66015625,23969.0390625,24025.169921875,64200000,24025.169921875,24236.744803787795,23679.21796875,23121.691133712204,,,,,,,,22970.221875,22989.2640625,,,,,,,,,,,,,,,,,,,
2020-01-15,23997.390625,23875.8203125,23923.48046875,23916.580078125,57200000,23916.580078125,24320.756936635145,23747.38984375,23174.022750864853,,,,,,,,23002.911,23053.499781249997,,,,,,,,,,,,,,,,,,,
2020-01-16,23975.380859375,23905.380859375,23960.19921875,23933.130859375,55400000,23933.130859375,24082.557518135443,23893.0640625,23703.57060686456,,,,,,,,23034.61945125,23113.881356874997,,,,,,,,,,,,,,,,,,,
2020-01-17,24115.94921875,24013.75,24103.44921875,24041.259765625,59400000,24041.259765625,24095.358335118857,23953.3421875,23811.32603988114,,,,,,,,23065.3766489625,23170.640037962497,,,,,,,81.04744545720298,86.95705042099205,,,,,,,,,,,
2020-01-20,24108.109375,24061.669921875,24080.6796875,24083.509765625,38300000,24083.509765625,24128.740372961234,23999.930078125,23871.119783288763,,,,,,,,23107.399551754002,23246.264772425497,,,,,,,80.85219008923411,82.97326513435273,,,,,,,,,,,
2020-01-21,24081.75,23843.48046875,24072.810546875,23864.560546875,44600000,23864.560546875,24130.949616826096,23967.808203125,23804.666789423907,,,,,,,,23147.741538433842,23315.839528131455,,,,,,,57.726823980344186,73.20881984226043,,,,,,,,,,,2.8429440627670166
2020-01-22,24040.869140625,23831.099609375,23835.490234375,24031.349609375,49000000,24031.349609375,24150.881268846362,23990.762109375,23830.642949903635,,,,,,,,23186.469845646487,23379.84830338094,,,,,,,54.84258907060724,64.47386771339518,,,,,,,,,,,1.9326192059511804
2020-01-23,23910.009765625,23779.23046875,23843.509765625,23795.439453125,55500000,23795.439453125,24187.875515737887,23963.223828125,23738.57214051211,,,,,,,,23223.64902057063,23438.736376610465,,,23874.4336742184,,,,27.616918403177607,46.72877715137634,,,,,,,,,,,2.545510892877334
2020-01-24,23869.380859375,23755.3203125,23850.119140625,23827.1796875,48700000,23827.1796875,24150.777637989264,23920.4078125,23690.03798701074,,,,,,23644.134765625,23533.564453125,23259.3410284978,23492.913403981627,,,23826.538880321856,,,,31.827664845458667,38.0957241064145,,,,,,,-24.79198875850574,10.353122708410426,,,0.3677802365202876
